,name_1,pic_1,name_2,pic_2,similarity,path_x1_1,path_x1_2,rec_x1,path_x2_1,path_x2_2,rec_x2
0,Abel_Pacheco,0001,Abel_Pacheco,0004,1,dataset/Abel_Pacheco/Abel_Pacheco_0001.jpg,dataset/Abel_Pacheco/Abel_Pacheco_0004.jpg,1,MDSR/output_x2/Abel_Pacheco_0001_result.jpg,MDSR/output_x2/Abel_Pacheco_0004_result.jpg,1
1,Akhmed_Zakayev,0001,Akhmed_Zakayev,0002,1,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,1,MDSR/output_x2/Akhmed_Zakayev_0001_result.jpg,MDSR/output_x2/Akhmed_Zakayev_0002_result.jpg,1
2,Akhmed_Zakayev,0001,Akhmed_Zakayev,0003,1,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,1,MDSR/output_x2/Akhmed_Zakayev_0001_result.jpg,MDSR/output_x2/Akhmed_Zakayev_0003_result.jpg,1
3,Akhmed_Zakayev,0002,Akhmed_Zakayev,0003,1,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,dataset/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,1,MDSR/output_x2/Akhmed_Zakayev_0002_result.jpg,MDSR/output_x2/Akhmed_Zakayev_0003_result.jpg,1
4,Amber_Tamblyn,0001,Amber_Tamblyn,0002,1,dataset/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,dataset/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,1,MDSR/output_x2/Amber_Tamblyn_0001_result.jpg,MDSR/output_x2/Amber_Tamblyn_0002_result.jpg,1
5,Anders_Fogh_Rasmussen,0001,Anders_Fogh_Rasmussen,0003,1,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,1,MDSR/output_x2/Anders_Fogh_Rasmussen_0001_result.jpg,MDSR/output_x2/Anders_Fogh_Rasmussen_0003_result.jpg,1
6,Anders_Fogh_Rasmussen,0001,Anders_Fogh_Rasmussen,0004,1,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,1,MDSR/output_x2/Anders_Fogh_Rasmussen_0001_result.jpg,MDSR/output_x2/Anders_Fogh_Rasmussen_0004_result.jpg,1
7,Anders_Fogh_Rasmussen,0003,Anders_Fogh_Rasmussen,0004,1,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,dataset/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,1,MDSR/output_x2/Anders_Fogh_Rasmussen_0003_result.jpg,MDSR/output_x2/Anders_Fogh_Rasmussen_0004_result.jpg,1
8,Angela_Bassett,0001,Angela_Bassett,0002,1,dataset/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/Angela_Bassett/Angela_Bassett_0002.jpg,1,MDSR/output_x2/Angela_Bassett_0001_result.jpg,MDSR/output_x2/Angela_Bassett_0002_result.jpg,1
9,Angela_Bassett,0001,Angela_Bassett,0003,1,dataset/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/Angela_Bassett/Angela_Bassett_0003.jpg,1,MDSR/output_x2/Angela_Bassett_0001_result.jpg,MDSR/output_x2/Angela_Bassett_0003_result.jpg,1
10,Angela_Bassett,0001,Angela_Bassett,0004,1,dataset/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/Angela_Bassett/Angela_Bassett_0004.jpg,1,MDSR/output_x2/Angela_Bassett_0001_result.jpg,MDSR/output_x2/Angela_Bassett_0004_result.jpg,1
11,Angela_Bassett,0001,Angela_Bassett,0005,1,dataset/Angela_Bassett/Angela_Bassett_0001.jpg,dataset/Angela_Bassett/Angela_Bassett_0005.jpg,1,MDSR/output_x2/Angela_Bassett_0001_result.jpg,MDSR/output_x2/Angela_Bassett_0005_result.jpg,1
12,Angela_Bassett,0002,Angela_Bassett,0003,1,dataset/Angela_Bassett/Angela_Bassett_0002.jpg,dataset/Angela_Bassett/Angela_Bassett_0003.jpg,0,MDSR/output_x2/Angela_Bassett_0002_result.jpg,MDSR/output_x2/Angela_Bassett_0003_result.jpg,0
13,Angela_Bassett,0002,Angela_Bassett,0004,1,dataset/Angela_Bassett/Angela_Bassett_0002.jpg,dataset/Angela_Bassett/Angela_Bassett_0004.jpg,1,MDSR/output_x2/Angela_Bassett_0002_result.jpg,MDSR/output_x2/Angela_Bassett_0004_result.jpg,1
14,Angela_Bassett,0002,Angela_Bassett,0005,1,dataset/Angela_Bassett/Angela_Bassett_0002.jpg,dataset/Angela_Bassett/Angela_Bassett_0005.jpg,1,MDSR/output_x2/Angela_Bassett_0002_result.jpg,MDSR/output_x2/Angela_Bassett_0005_result.jpg,1
15,Angela_Bassett,0003,Angela_Bassett,0004,1,dataset/Angela_Bassett/Angela_Bassett_0003.jpg,dataset/Angela_Bassett/Angela_Bassett_0004.jpg,1,MDSR/output_x2/Angela_Bassett_0003_result.jpg,MDSR/output_x2/Angela_Bassett_0004_result.jpg,1
16,Angela_Bassett,0003,Angela_Bassett,0005,1,dataset/Angela_Bassett/Angela_Bassett_0003.jpg,dataset/Angela_Bassett/Angela_Bassett_0005.jpg,1,MDSR/output_x2/Angela_Bassett_0003_result.jpg,MDSR/output_x2/Angela_Bassett_0005_result.jpg,1
17,Angela_Bassett,0004,Angela_Bassett,0005,1,dataset/Angela_Bassett/Angela_Bassett_0004.jpg,dataset/Angela_Bassett/Angela_Bassett_0005.jpg,1,MDSR/output_x2/Angela_Bassett_0004_result.jpg,MDSR/output_x2/Angela_Bassett_0005_result.jpg,1
18,Ann_Veneman,0010,Ann_Veneman,0011,1,dataset/Ann_Veneman/Ann_Veneman_0010.jpg,dataset/Ann_Veneman/Ann_Veneman_0011.jpg,1,MDSR/output_x2/Ann_Veneman_0010_result.jpg,MDSR/output_x2/Ann_Veneman_0011_result.jpg,1
19,Ann_Veneman,0010,Ann_Veneman,0003,1,dataset/Ann_Veneman/Ann_Veneman_0010.jpg,dataset/Ann_Veneman/Ann_Veneman_0003.jpg,1,MDSR/output_x2/Ann_Veneman_0010_result.jpg,MDSR/output_x2/Ann_Veneman_0003_result.jpg,1
20,Ann_Veneman,0010,Ann_Veneman,0005,1,dataset/Ann_Veneman/Ann_Veneman_0010.jpg,dataset/Ann_Veneman/Ann_Veneman_0005.jpg,1,MDSR/output_x2/Ann_Veneman_0010_result.jpg,MDSR/output_x2/Ann_Veneman_0005_result.jpg,1
21,Ann_Veneman,0010,Ann_Veneman,0006,1,dataset/Ann_Veneman/Ann_Veneman_0010.jpg,dataset/Ann_Veneman/Ann_Veneman_0006.jpg,0,MDSR/output_x2/Ann_Veneman_0010_result.jpg,MDSR/output_x2/Ann_Veneman_0006_result.jpg,0
22,Ann_Veneman,0011,Ann_Veneman,0003,1,dataset/Ann_Veneman/Ann_Veneman_0011.jpg,dataset/Ann_Veneman/Ann_Veneman_0003.jpg,1,MDSR/output_x2/Ann_Veneman_0011_result.jpg,MDSR/output_x2/Ann_Veneman_0003_result.jpg,1
23,Ann_Veneman,0011,Ann_Veneman,0005,1,dataset/Ann_Veneman/Ann_Veneman_0011.jpg,dataset/Ann_Veneman/Ann_Veneman_0005.jpg,1,MDSR/output_x2/Ann_Veneman_0011_result.jpg,MDSR/output_x2/Ann_Veneman_0005_result.jpg,1
